행 레이블,평균 : 월_평균_소득_금액,평균 : 지출_총금액
1000001,3783725,2927151544
1000002,3665126,5403471264
1000003,3192740,2753854220
1000004,3282965,4251573887
1000005,4545914,2961934404
1000006,3956634,2640365158
1000007,3919168,1881062923
1000008,4261795,1791490430
1000009,4223372,1719137098
1000010,4141282,3297903453
1000011,2930491,6123824322
1000012,3697470,4049016334
1000013,3042575,2184429608
1000014,3127192,2740334765
1000015,3180329,4963325638
1000016,3807890,4052268449
1000017,3213092,1349364217
1000018,3138323,4141951595
1000019,3006070,8016828085
1000020,3225697,7193139652
1000021,4414588,4795866382
1000022,2926001,5440195096
1000023,3143406,6370970438
1000024,3091247,7669089363
1000025,4615780,5569788388
1000026,4928278,4617142155
1000027,5028237,5125605932
1000028,3663395,5434006016
1000029,4109279,6125374283
1000030,3101507,6592584621
1000031,4016091,8224301835
1000032,3692680,6315425076
1000033,3126348,4728757934
1000034,3759392,9068714210
1000035,3455959,9767657328
1000036,3249162,7568562077
1000037,3213409,5952230193
1000038,3687560,7692326276
1000039,2954105,201368577
1000040,3069139,447759255
1000041,3112461,5014099189
1000042,3738126,6617023019
1000043,4095350,7969086030
1000044,4848137,3739489628
1000045,4654026,3105368622
1000046,3823749,3375861031
1000047,3189056,3112710700
1000048,4595194,3547214039
1000049,3900122,8784439312
1000050,5403249,2758203512
1000051,4391589,4755620132
1000052,3261305,3644953704
1000053,3365558,3633658341
1000054,3881385,4742732564
1000055,4154394,5341444670
1000056,3142473,8451417494
1000057,3901889,7345532075
1000058,4881824,6962446915
1000059,5029603,5305607537
1000060,3258924,5961062922
1000061,3054141,6971169331
1000062,3518115,9477067327
1000063,3387859,7168319416
1000064,3787190,8226376912
1000065,4302845,6567890172
1000066,4179713,5860536617
1000067,4257136,6340909362
1000068,4664119,5631107988
1000069,4039077,5248471048
1000070,3708630,6811395667
1000071,4511430,5356299362
1000072,3798085,9148750362
1000073,3261894,5313206174
1000074,3085410,7034913964
1000075,2866015,11114714740
1000076,3172149,6619709827
1000077,3627658,8409622259
1000078,5093691,1361750900
1000079,4082857,2674219045
1000080,4825561,2640857587
1000081,4956782,3413052589
1000082,4528441,3731921335
1000083,2817167,1846419325
1000084,5428102,3606262532
1000085,3922838,6409231059
1000086,4083429,7833516184
1000087,3309706,8826092226
1000088,4332151,7515357528
1000089,4214000,8781150292
1000090,4191370,8765462894
1000091,3710868,7316474539
1000092,3898655,4975642604
1000093,3434604,6160263367
1000094,3477444,4781002091
1000095,3555664,6705970118
1000096,3823158,3445622777
1000097,4714975,11007601824
1000098,4270933,6593080608
1000099,3291487,5967632307
1000100,3289419,5949894753
1000101,3810246,9152671313
1000102,3233549,4222072107
1000103,3640200,4296145661
1000104,3647989,6236153123
1000105,3888053,4245988718
1000106,3312317,8158006382
1000107,4378059,7081604746
1000108,2733695,4672867048
1000109,3623768,3690419749
1000110,4044311,4916609225
1000111,3215440,4755009020
1000112,3204236,5073873090
1000113,4187737,3146140298
1000114,3087002,4476695695
1000115,3899530,5003345420
1000116,3655839,6377984218
1000117,4207050,7938335523
1000118,3333846,6068442231
1000119,3670844,6968209320
1000120,3792922,6527444181
1000121,2818764,8546077823
1000122,3087950,6273442295
1000123,4214326,10102277226
1000124,3387914,7083836306
1000125,4792384,7393905669
1000126,5125086,7274589159
1000127,3030235,7151710491
1000128,2742354,3436169861
1000129,2958605,7637371336
1000130,2880070,5989577824
1000131,3140467,9420764822
1000132,4320818,11339047605
1000133,2965337,13140280654
1000134,2889748,8890299251
1000135,2833391,6322139491
1000136,2937775,8948223633
1000137,2993458,9278190483
1000138,2869030,7119164113
1000139,2932411,9315555364
1000140,4423568,8596691479
1000141,4573090,8090857731
1000142,3604060,9068198865
1000143,2977354,6919410155
1000144,3946761,8709656771
1000145,3488167,6696221174
1000146,3549883,9015401504
1000147,3609895,9193840885
1000148,3552415,8814311164
1000149,3945417,4690382008
1000150,2906616,7876668047
1000151,3467651,10232805508
1000152,3292058,7149208779
1000153,3162613,8649640391
1000154,4518427,11243727006
1000155,5421827,6319937157
1000156,3003235,11113569905
1000157,3010834,9855389702
1000158,2927730,9147466765
1000159,3146748,8756108647
1000160,3155948,11602201413
1000161,3052176,9010340335
1000162,3099155,9345829833
1000163,2924276,10263430262
1000164,4287996,7719098640
1000165,2956453,10094597038
1000166,3023870,10813792283
1000167,3047200,12393174285
1000168,3791506,3802342838
1000169,3525290,4661081854
1000170,3007481,4710629978
1000171,3510412,7021985047
1000172,3463634,9133533997
1000173,3353305,8614370729
1000174,3387150,6077964725
1000175,3250474,9387378720
1000176,3149517,8898571232
1000177,3785860,6810168692
1000178,3396283,8472450696
1000179,2920114,4194919236
1000180,2950119,5068812806
1000181,3600200,6285037800
1000182,3536868,6422766290
1000183,3533309,4930158151
1000184,3339912,6779578805
1000185,3392604,7271289834
1000186,3245664,6935712010
1000187,3001829,7364114121
1000188,3150482,6701022805
1000189,3795569,7077816261
1000190,3473713,6166353579
1000191,2691756,4379458419
1000192,3638786,3134170904
1000193,3159376,7353168586
1000194,3385670,9148972075
1000195,3289947,6015547985
1000196,3250374,7090714210
1000197,3245443,8472139921
1000198,3633095,7025508783
1000199,3589305,6683112968
1000200,3414906,6812899344
1000201,2978443,7377437223
1000202,3104444,5414379567
1000203,3106071,6949110902
1000204,3480172,7546074716
1000205,3227718,8505861286
1000206,3554623,6145361496
1000207,3570936,4043524099
1000208,4072272,3525860189
1000209,3314242,5122296308
1000210,3651271,7116144174
1000211,2713573,5161213594
1000212,2987814,4669837948
1000213,3098443,4318187270
1000214,2991105,10293629988
1000215,3308434,6594430785
1000216,2972926,6848900266
1000217,3449170,6199223591
1000218,3561761,6629898916
1000219,3204393,7080601012
1000220,3496194,5760231548
1000221,3196539,9194361481
1000222,2807531,8629501161
1000223,2763538,9471792004
1000224,2590402,12228344069
1000225,3485571,4876489783
1000226,3442126,9313316888
1000227,2977476,6498453784
1000228,2699028,10176870936
1000229,2774804,8760055687
1000230,3218368,10953778127
1000231,3089043,9458513555
1000232,3070019,9401081607
1000233,2722031,8244370446
1000234,2794325,6029613518
1000235,2823781,7330105467
1000236,3201362,6160102325
1000237,3380220,12356727574
1000238,3496223,7106247846
1000239,2750007,8144284796
1000240,2925208,5045291513
1000241,2885088,6450252898
1000242,3081354,7900141482
1000243,2899549,6682725643
1000244,2878872,8539379645
1000245,2854344,7576589426
1000246,2875404,7702138945
1000247,2798078,9062449394
1000248,2716774,11269662672
1000249,3286152,7897324521
1000250,2960405,9000232967
1000251,2735504,8562553240
1000252,3219337,10013543965
1000253,3175128,8290553127
1000254,3165711,8461857144
1000255,3441344,8183329275
1000256,2553230,8123193928
1000257,2824848,5366203635
1000258,2989291,7481792466
1000259,2784517,6702277586
1000260,2805889,6706688986
1000261,4592969,6197516700
1000262,2842846,5869670626
1000263,2880061,5759162548
1000264,3399699,7387393415
1000265,2887587,6286624480
1000266,3565720,5564957692
1000267,3128789,5888455969
1000268,4191145,7286928458
1000269,4272777,5278593113
1000270,3269938,5857520372
1000271,3099244,2936358874
1000272,2978708,2606782452
1000273,3583008,9821631477
1000274,3243007,7012447973
1000275,3695153,5785707969
1000276,3760516,5484109504
1000277,3168811,4338918582
1000278,3654614,4050919301
1000279,3776560,4206385158
1000280,3861704,4661101527
1000281,4452352,10174883272
1000282,3140302,4881309566
1000283,2792142,6093659754
1000284,4169946,8134464205
1000285,3078150,7443526364
1000286,3547443,5180945559
1000287,3159510,6845810743
1000288,3532277,7494041579
1000289,3808509,4767732206
1000290,3254603,6414230349
1000291,3351992,1567406309
1000292,3679539,3973538971
1000293,3135826,5019544072
1000294,3226641,6627890406
1000295,3330994,5086906793
1000296,2936072,5693742803
1000297,3860395,5567467678
1000298,3860968,11033761800
1000299,2707267,1848649326
1000300,3697595,8870563480
1000301,4012529,7273328064
1000302,4080979,6393931197
1000303,3927546,6507187864
1000304,3636464,4098891394
1000305,3455828,7058573879
1000306,3310472,4533754937
1000307,3604878,6188199981
1000308,3329535,5376626567
1000309,3600493,5504138704
1000310,3917206,4774933625
1000311,3521318,7694645677
1000312,3728576,8168577501
1000313,3495547,6065992204
1000314,3355922,4739938247
1000315,2630975,9326556118
1000316,3351810,7360896286
1000317,3033930,7161214057
1000318,2699441,5356143524
1000319,2881265,7001679847
1000320,3731366,4889134057
1000321,2573052,6264118399
1000322,2775141,8404083782
1000323,3020129,7455884830
1000324,2762263,7164259950
1000325,2531292,2216118087
1000326,2991118,5733258264
1000327,2607710,8652678660
1000328,4178317,7146056142
1000329,3714625,8566057262
1000330,3697552,9792456264
1000331,3400410,11329171810
1000332,2841314,9358944086
1000333,2798133,9342486495
1000334,2661397,10212246244
1000335,2971883,9580180182
1000336,2935461,7018921483
1000337,2707548,8333296451
1000338,2668776,7716503482
1000339,2679785,7828168950
1000340,3503535,6132983422
1000341,2885119,6842927296
1000342,2675047,6829363406
1000343,2628325,8481707929
1000344,3023041,9257218176
1000345,2843606,6491868349
1000346,2715512,6848368302
1000347,2898498,6763357806
1000348,3231952,6986064218
1000349,3218768,7371928407
1000350,2615827,5345691956
1000351,3253551,6565580637
1000352,2887299,9394502368
1000353,4036274,5877431743
1000354,2704886,7761526817
1000355,2716671,8584754175
1000356,2598099,8875320205
1000357,2691844,8394862791
1000358,2779465,7797139710
1000359,3185975,8871331346
1000360,2890532,9737440743
1000361,2806763,6983013259
1000362,2916491,8782892806
1000363,2535737,6042916863
1000364,2949403,6085974961
1000365,2992060,4598302190
1000366,3259788,5466217765
1000367,2977069,1691273336
1000368,3282833,3844119340
1000369,2838948,7492617686
1000370,3483774,5493588675
1000371,2933044,8843762781
1000372,2900760,8713999595
1000373,3195408,3391471772
1000374,2487690,5831185722
1000375,3262082,6514673106
1000376,2456067,7762893073
1000377,3833480,8615763217
1000378,3776885,3773158254
1000379,3075981,8781304632
1000380,3070362,10632835295
1000381,3600464,4551552670
1000382,3648910,11052292469
1000383,3228563,4862500571
1000384,3153326,9153968020
1000385,3385960,5733507339
1000386,3217625,7135258166
1000387,3144555,9458095952
1000388,2844050,9280266466
1000389,2987703,10861716406
1000390,3367038,9988442532
1000391,3213541,10588108669
1000392,3101445,10362434545
1000393,3297906,11951734982
1000394,2954457,10258080395
1000395,3422341,8555137516
1000396,2928479,13051505810
1000397,3644941,3430864489
1000398,3396343,13496396756
1000399,2703002,11602381353
1000400,3148242,12220248361
1000401,2822620,13723806681
1000402,2905646,10924822685
1000403,2948335,12231050069
1000404,3065602,11209130657
1000405,3433301,10388207675
1000406,3110802,6410883227
1000407,2653159,7020996094
1000408,2960948,8032809878
1000409,3023570,11971468213
1000410,2894249,6440332412
1000411,2693620,12951745224
1000412,3284693,9552344468
1000413,3290665,9864215703
1000414,3291995,6666962554
1000415,2965265,11515066104
1000416,3098952,11552555760
1000417,2657208,5158350473
1000418,2885589,6090962212
1000419,3277047,5832838690
1000420,3114876,8544208630
1000421,3239388,11805485636
1000422,3092768,7964071874
1000423,3265226,7028410943
1000424,3127249,7815666208
1000425,2963179,12663969996
1000426,3305473,5938106968
1000427,3202535,6879560714
1000428,3839486,7713223122
1000429,3031434,13729762150
1000430,2771374,12939908033
1000431,2813805,8952602840
1000432,3593545,8586320432
1000433,2914959,8917104027
1000434,2555596,8479151306
1000435,3632306,9038374419
1000436,4399597,8808250652
1000437,3214788,8191917606
1000438,4018246,12101638338
1000439,3473478,6223067498
1000440,3808358,6101001139
1000441,3752653,8541949844
1000442,3600106,8175028953
1000443,4308256,6832715413
1000444,3402601,5133278236
1000445,3592619,5093147100
1000446,3055544,10578227497
1000447,3650407,8564883338
1000448,3498379,11303108917
1000449,3426010,14677560848
1000450,3336568,7545199363
1000451,4096740,6071705335
1000452,4421899,3381343673
1000453,4587384,3229148685
1000454,3246950,6410836221
1000455,3750496,4815595219
1000456,3523618,5261169253
1000457,3673933,5514960091
1000458,4386847,6399211891
1000459,3609759,8321753287
1000460,3302273,6000999184
1000461,4531580,10949956791
1000462,4592289,8898455271
1000463,5340821,5815435476
1000464,4194842,8198161143
1000465,3478565,5328734282
1000466,3365257,8041793014
1000467,3413953,7114294798
1000468,3507352,6115746712
1000469,3546215,8206452576
1000470,3560104,7063999337
1000471,5062341,5550728211
1000472,4920128,7478067960
1000473,4789898,6283762940
1000474,4487888,9175682996
1000475,3428230,9719536596
1000476,3405494,12397341469
1000477,4054798,5225340757
1000478,3994708,7562899334
1000479,3543494,8827664162
1000480,4688782,7463143164
1000481,3401926,8230392679
1000482,3436656,9748790384
1000483,3383137,6478451288
1000484,3241804,10062639082
1000485,3542975,4515993663
1000486,4357188,6897081411
1000487,4349956,4774736552
1000488,3968764,6109818730
1000489,3580278,5273963472
1000490,3747088,3933116398
1000491,4425284,5296781834
1000492,3636428,8224400117
1000493,3874859,5005751520
1000494,3370708,4784053829
1000495,3307984,4375968469
1000496,4222606,5656190292
1000497,3350714,8614785465
1000498,3217397,10461069644
1000499,3356574,9772913392
1000500,3352213,9119334473
1000501,3535814,11512456938
1000502,3554669,10512280220
1000503,4044069,9711454042
1000504,4343936,7120630595
1000505,5016848,7471552051
1000506,3483716,9999332988
1000507,2431702,4809731704
1000508,2925171,10513764885
1000509,2835566,7630458419
1000510,2936340,10165324926
1000511,2664910,10930040650
1000512,2795531,9349380683
1000513,2653081,6833520558
1000514,2782314,6794706522
1000515,2823174,7309579626
1000516,3180844,6310906154
1000517,3757256,3164121005
1000518,3378219,5134694765
1000519,5385891,9739183373
1000520,5461120,6029730528
1000521,3608441,7394951156
1000522,4232881,7989460952
1000523,3329453,10049517993
1000524,5190668,2625486810
1000525,4028850,9905966205
1000526,3605559,10756598656
1000527,4702393,9052233918
1000528,4368889,8531048393
1000529,4413693,11653188829
1000530,5030681,7280666580
1000531,4816283,9278479146
1000532,5091024,8013827593
1000533,4778830,10212927925
1000534,3051196,8145503695
1000535,3278410,7776968614
1000536,2889126,9328380660
1000537,3219613,10392174143
1000538,3061008,8212665141
1000539,3078789,8623287498
1000540,3614007,6076585244
1000541,3339918,8324708176
1000542,3544381,7510426599
1000543,3737124,5894078104
1000544,3834372,6295428581
1000545,3305755,9094814616
1000546,3331052,8241852774
1000547,3056829,9618880447
1000548,3005087,7964272402
1000549,2727571,5485438347
1000550,3255036,5084160385
1000551,2575486,6254814484
1000552,2920894,17456760912
1000553,2787472,14495370234
1000554,2814896,20593340589
1000555,2864948,14343808522
1000556,2893761,19389940776
1000557,2753827,12729167202
1000558,2760262,10513349629
1000559,4491672,6460444882
1000560,4287389,11125188350
1000561,3335974,9733368113
1000562,3721534,8543882170
1000563,2832051,11497438811
1000564,2770185,12163384486
1000565,2863223,11584445165
1000566,2830993,12675086567
1000567,2999226,9709805041
1000568,2944609,6322655663
1000569,2740966,12285999515
1000570,2736871,15282712729
1000571,2833699,11691716519
1000572,2840925,11353787752
1000573,3740572,8105969884
1000574,4926127,3682667297
1000575,3786450,5058702411
1000576,3647287,7593635248
1000577,3840603,9895934531
1000578,4365810,10496197177
1000579,4057220,9166383581
1000580,3001896,5630484690
1000581,2953535,9751273443
1000582,2697339,14850324905
1000583,2876930,5303985117
1000584,3044295,10485157463
1000585,4241404,6677933517
1000586,3135380,7232456389
1000587,3212865,8107496458
1000588,3310710,9891244819
1000589,3083943,7726529007
1000590,3120504,3392932378
1000591,3050128,10169072523
1000592,3335019,9736925294
1000593,3340964,9742415910
1000594,3569754,5475309202
1000595,4087934,3119487000
1000596,4340846,8789863328
1000597,4349386,8576174723
1000598,3749417,8955643059
