행 레이블,평균 : 당월_매출_금액
1000001,678833195.9
1000002,921705389.6
1000003,1713148911
1000004,172226293.7
1000005,231564347.3
1000006,984004266.7
1000007,990730197.1
1000008,767745657.4
1000009,902690162.9
1000010,803114521.6
1000011,886233859.8
1000012,499726985.4
1000013,3228201148
1000014,761539924.8
1000015,1187401612
1000016,1021700220
1000017,7296261696
1000018,1424816516
1000019,581357435.2
1000020,663765319.5
1000021,486304841.3
1000022,1116949462
1000023,1106846896
1000024,310622794.9
1000025,385701416.2
1000026,275662163.3
1000027,881236001
1000028,1202971632
1000029,776509509
1000030,1480253480
1000031,753343690.4
1000032,1162972942
1000033,1416817699
1000034,1196340325
1000035,873550624
1000036,1322507705
1000037,962942415.6
1000038,1183146584
1000039,4105226604
1000040,1678012634
1000041,1513979423
1000042,991083351.1
1000043,545652442.7
1000044,1907962933
1000045,849089125.7
1000046,1071811360
1000047,1566708798
1000048,3025401844
1000049,1051010110
1000050,290459063.4
1000051,1384770116
1000052,1372099079
1000053,1025332180
1000054,398989228.7
1000055,1114512983
1000056,1176826435
1000057,712117319.7
1000058,1021533051
1000059,230327104.9
1000060,460540496.6
1000061,481303530.2
1000062,870895550.6
1000063,1148613377
1000064,465953996.8
1000065,11966626450
1000066,11880701001
1000067,7857567652
1000068,1164115237
1000069,1632551193
1000070,1684474524
1000071,1332694887
1000072,366540554.1
1000073,1050226868
1000074,678207804
1000075,557719820.3
1000076,541847920.4
1000077,1110384872
1000078,1571147911
1000079,21256207359
1000080,1049842739
1000081,823219590.7
1000082,1628033339
1000083,778247539.9
1000084,1156412431
1000085,571935596.4
1000086,745932174.7
1000087,618282880.1
1000088,1383947452
1000089,560236816.4
1000090,632258694.4
1000091,812985755.2
1000092,1940835468
1000093,918737316.3
1000094,555968198.2
1000095,511267900.4
1000096,1406544285
1000097,436170642.8
1000098,334051724
1000099,1135859965
1000100,1072276575
1000101,629819211.8
1000102,1058886962
1000103,992816176.5
1000104,1432341615
1000105,824699351.4
1000106,1461042011
1000107,737397597.4
1000108,2377485046
1000109,2164597499
1000110,3029359034
1000111,298049526.5
1000112,1149148432
1000113,2264287079
1000114,1489171209
1000115,1614312775
1000116,1214283246
1000117,908482569.8
1000118,1519012891
1000119,515524885.8
1000120,1449713623
1000121,867234250.9
1000122,788551094.5
1000123,645289635.5
1000124,466806209.2
1000125,496133783.3
1000126,691118721.6
1000127,854479613.6
1000128,760571749.9
1000129,680354592.4
1000130,704620142.5
1000131,620969612.2
1000132,1309757926
1000133,1065692671
1000134,812395278.4
1000135,932292748.3
1000136,899190459.9
1000137,1331463368
1000138,963610037.3
1000139,1140578995
1000140,522405263.9
1000141,485835563.5
1000142,1515781787
1000143,1502259938
1000144,886217582.2
1000145,415027699
1000146,402378100.8
1000147,294785262.1
1000148,365007713.2
1000149,284592468.2
1000150,368169534.1
1000151,813612698.4
1000152,953370399.4
1000153,950170598.8
1000154,1106361296
1000155,564492943.4
1000156,1001444940
1000157,1273384736
1000158,1046745511
1000159,1106706267
1000160,1022183447
1000161,966509388.2
1000162,591813614.5
1000163,868166788.4
1000164,434578240.6
1000165,1270392329
1000166,1029394646
1000167,824144791.3
1000168,908602894.3
1000169,852543852.3
1000170,859645536.1
1000171,257763668.9
1000172,497743547.2
1000173,554671876.1
1000174,714265213.2
1000175,886141876.4
1000176,1303695876
1000177,983785085.4
1000178,972186409.6
1000179,471136924.1
1000180,590937830.2
1000181,608688625.3
1000182,272517382
1000183,626077546.2
1000184,418400714.1
1000185,938055987
1000186,813885253
1000187,409341024.3
1000188,383216920.4
1000189,622022423.2
1000190,1486439653
1000191,3512287611
1000192,8396326903
1000193,565966696.7
1000194,306035461.8
1000195,1259111252
1000196,1162749051
1000197,1245962939
1000198,1134764314
1000199,1014753170
1000200,1124650583
1000201,1496986733
1000202,1665005909
1000203,501938122.8
1000204,614470087
1000205,667723122.3
1000206,387773359.6
1000207,460818273.5
1000208,199430698.9
1000209,619131884
1000210,586015351.7
1000211,657910884.9
1000212,1297457187
1000213,816485508.5
1000214,1556205764
1000215,673895790.1
1000216,1089662409
1000217,552778535.1
1000218,576017472.2
1000219,281993267.1
1000220,562739000.2
1000221,619579976.2
1000222,885188975.4
1000223,718234655.7
1000224,856472357
1000225,435774092.6
1000226,694145645.6
1000227,299210141.4
1000228,864942965.7
1000229,617231690.8
1000230,1068167821
1000231,882120984.8
1000232,538969944.6
1000233,773302160.6
1000234,663188060.2
1000235,696290297.1
1000236,388769894.2
1000237,804282916.5
1000238,641250796.7
1000239,912076952.9
1000240,319662519.6
1000241,246653626.3
1000242,345877895.2
1000243,1105476068
1000244,891835450.6
1000245,983199683.6
1000246,427514580.7
1000247,495545779.3
1000248,1245694068
1000249,982739991.5
1000250,398080800.1
1000251,793097776.1
1000252,848847662.2
1000253,517816934.2
1000254,1080100236
1000255,440841257.4
1000256,371601374.5
1000257,402100008.1
1000258,610062514.4
1000259,287354436.8
1000260,889211211.6
1000261,283630276
1000262,330130703.2
1000263,435427320.7
1000264,482823651.9
1000265,360695657.5
1000266,313698700.3
1000267,303005825.4
1000268,1070314307
1000269,1069324830
1000270,1204437384
1000271,695610780.3
1000272,682599701
1000273,574395754.3
1000274,356684196.8
1000275,383015395.4
1000276,611185260.8
1000277,966599837.2
1000278,640731038.1
1000279,278541490.9
1000280,226373201.7
1000281,480659708.1
1000282,622566620.9
1000283,567771468.7
1000284,960999399
1000285,511948482.3
1000286,915821424.1
1000287,467654954.1
1000288,640938040.3
1000289,249537831.4
1000290,718392856.3
1000291,785378108.5
1000292,845913473.6
1000293,577205603.1
1000294,348264725.8
1000295,369506512
1000296,235801821.1
1000297,354649446.3
1000298,572212106.3
1000299,183883205.1
1000300,498761305.2
1000301,482065739.1
1000302,531736929.7
1000303,455387164.9
1000304,417922788.6
1000305,332747872
1000306,709109195.8
1000307,369847224.8
1000308,622985114.7
1000309,495558596.8
1000310,421034368.6
1000311,350784272.4
1000312,627588695.1
1000313,471651067.7
1000314,667476564.9
1000315,888463540.8
1000316,430271541.6
1000317,338434270.1
1000318,350522325.1
1000319,1652389168
1000320,898326962.9
1000321,379245875
1000322,759843331.5
1000323,988401022.1
1000324,1755002105
1000325,1416044419
1000326,811418325.8
1000327,1200997416
1000328,229131328.1
1000329,529797215.5
1000330,574909363.9
1000331,725868771.5
1000332,491082813.2
1000333,308933676.7
1000334,440988210.3
1000335,606092934.1
1000336,1071509526
1000337,749601369.9
1000338,592478954.8
1000339,1747109472
1000340,613348725.9
1000341,164145758.9
1000342,1694480831
1000343,317958728.7
1000344,346948342.8
1000345,221200362.3
1000346,486274492.3
1000347,800298524.8
1000348,708283081.1
1000349,1213154524
1000350,1251975597
1000351,1085328560
1000352,1090417138
1000353,876121775.9
1000354,474334693.8
1000355,567960308.7
1000356,619734512.1
1000357,785620510
1000358,840103299.1
1000359,990579125.5
1000360,996117896.4
1000361,602398219
1000362,650990636.8
1000363,296565430.3
1000364,322127294.6
1000365,236827534
1000366,732014199.7
1000367,1408995980
1000368,811049877
1000369,716023707.7
1000370,366924567.1
1000371,840957887.2
1000372,781790227.3
1000373,310298940.8
1000374,744046926.9
1000375,219155413.1
1000376,433098483.2
1000377,651157151.4
1000378,408955116.3
1000379,795488462.7
1000380,1171971089
1000381,598503972
1000382,909262093.7
1000383,1155095536
1000384,974151343.4
1000385,657876680.3
1000386,877831069.4
1000387,701621947
1000388,500420789
1000389,568378537.2
1000390,531001794.6
1000391,541432653.8
1000392,358471414.4
1000393,385053327.9
1000394,678414499.5
1000395,324197498
1000396,897766540.2
1000397,146842187.8
1000398,652659586.5
1000399,491424703.3
1000400,1071445195
1000401,1044448194
1000402,1130285034
1000403,1398654162
1000404,1371317353
1000405,1534625243
1000406,1273447602
1000407,710937055.9
1000408,503599174.6
1000409,421453518.3
1000410,255082713.4
1000411,544965520.3
1000412,861585946.2
1000413,1161633689
1000414,308066886.4
1000415,667219705.4
1000416,892549104.8
1000417,663630916.1
1000418,856021364.5
1000419,879097029.2
1000420,678200744.7
1000421,818706902.6
1000422,417587161.2
1000423,245827457.4
1000424,495743713.4
1000425,819491077.8
