행 레이블,평균 : 총_유동인구_수
1000001,1285791.5
1000002,3943541.083
1000003,2184229
1000004,3318473
1000005,458317.1667
1000006,1235974.917
1000007,1019402
1000008,554392.1667
1000009,564433
1000010,3086526.083
1000011,5784952.083
1000012,2559004
1000013,1448484.083
1000014,3225419.583
1000015,4410611.417
1000016,3050228.917
1000017,1689413.833
1000018,4147948.583
1000019,7497181.833
1000020,5918975.083
1000021,3688144.333
1000022,5764240
1000023,5973670.583
1000024,6812732.833
1000025,3139466.417
1000026,230984.4167
1000027,3031045.833
1000028,6097844.667
1000029,4237561.833
1000030,5847909.083
1000031,4639341.5
1000032,6115555
1000033,5418318.917
1000034,6036195.25
1000035,3300109.167
1000036,4224636.583
1000037,4445939.5
1000038,4220910.833
1000039,3646656.667
1000040,2623800.167
1000041,3779043.417
1000042,5070267.25
1000043,4845760.667
1000044,1967379.333
1000045,1423930
1000046,2870842
1000047,3058366.5
1000048,2255005
1000049,6729222.917
1000050,852047.1667
1000051,2335537.833
1000052,1959421.083
1000053,1926584.167
1000054,2314376.667
1000055,2864503.083
1000056,3894880.5
1000057,5483353.417
1000058,4755114.083
1000059,1398848.167
1000060,3442616.333
1000061,3318753.75
1000062,4884416.917
1000063,3232566.167
1000064,3747060.5
1000065,2674543.333
1000066,2724842.75
1000067,4464594.667
1000068,4188229.417
1000069,1523127.917
1000070,3409664.25
1000071,2089913.167
1000072,4421963.25
1000073,3706934.5
1000074,4833432.25
1000075,6357002.25
1000076,3744461.833
1000077,3636233.083
1000078,1230712.083
1000079,2059650.917
1000080,1684003.5
1000081,2014979.25
1000082,1787965.833
1000083,1272008.583
1000084,1244983.917
1000085,3269257.417
1000086,4614478.75
1000087,3348258.5
1000088,5740623.25
1000089,4924559.75
1000090,5879942.75
1000091,2882740.75
1000092,2913549.083
1000093,3799225.583
1000094,2726213.917
1000095,3174626.583
1000096,2902005
1000097,3800155.333
1000098,5247385.833
1000099,4454620.25
1000100,3994789.5
1000101,5203109.667
1000102,2379617.833
1000103,2599877.333
1000104,3988372.167
1000105,3097762.833
1000106,4836191.5
1000107,2386329.5
1000108,3688865.917
1000109,2884233.083
1000110,3650424
1000111,3423983.667
1000112,3997416.667
1000113,2323474.833
1000114,4160340.5
1000115,3433675.333
1000116,4508481.25
1000117,5135534.083
1000118,5302041.417
1000119,4540707.833
1000120,4837247.25
1000121,4791376.917
1000122,3371317.917
1000123,4530392.333
1000124,2957575.083
1000125,2653064.667
1000126,2463189.417
1000127,5838050.167
1000128,1892846.583
1000129,4933903.083
1000130,3475908.083
1000131,6394836.833
1000132,7285469.167
1000133,7381947.333
1000134,5715864.083
1000135,3921768.167
1000136,5510633.917
1000137,7924256.083
1000138,5146448
1000139,4130983.667
1000140,6127437.583
1000141,6325088.75
1000142,6420318.667
1000143,6625021.833
1000144,6612646.167
1000145,5310290.5
1000146,5702098.083
1000147,3657620.833
1000148,4288526.75
1000149,2842860.417
1000150,5384031.083
1000151,8245757.417
1000152,4744908.583
1000153,6513622.5
1000154,6862922.083
1000155,2224789
1000156,6505129.75
1000157,4734032.083
1000158,7907866.167
1000159,6933235.75
1000160,7311216.417
1000161,5341466.583
1000162,5104544.417
1000163,6072081.833
1000164,5356770.167
1000165,4866417.083
1000166,5813670.25
1000167,6950582.833
1000168,4025736.833
1000169,5439088.75
1000170,3407939.25
1000171,5103734.333
1000172,5139336.583
1000173,3728744.25
1000174,3966039.5
1000175,4081396.917
1000176,4522434.917
1000177,3164997.833
1000178,4007309.083
1000179,3092109
1000180,3982024.917
1000181,5579058.833
1000182,2807602.083
1000183,3917680.75
1000184,2810187.667
1000185,3970896.583
1000186,4345396.25
1000187,6176628.167
1000188,6952399.75
1000189,5398653
1000190,4849826.833
1000191,3505616.167
1000192,3760467.333
1000193,5550368.75
1000194,5725547.917
1000195,2959072
1000196,4122750.333
1000197,4231509.167
1000198,3418666.333
1000199,4316035.75
1000200,4317367
1000201,4896442.75
1000202,3848741.833
1000203,5966500.833
1000204,5887660.083
1000205,5161096.917
1000206,3884692.583
1000207,3141429.75
1000208,2363543.75
1000209,2786235.083
1000210,5310962.917
1000211,3853730.5
1000212,3374392.167
1000213,2728418.833
1000214,5178217.833
1000215,3239453.75
1000216,4132091.5
1000217,2620612.667
1000218,6094921.25
1000219,5273517.167
1000220,5038583.5
1000221,6703346.833
1000222,5672198
1000223,5702508.333
1000224,8680096.75
1000225,2649612.667
1000226,5182396
1000227,4726305.25
1000228,5913759.25
1000229,5148906.833
1000230,6542365.833
1000231,5949083.5
1000232,6558581.583
1000233,5263111.833
1000234,3866553.75
1000235,5188875.167
1000236,3644821.917
1000237,7890061.25
1000238,4911873.75
1000239,5537291
1000240,3241191
1000241,4611936.25
1000242,5562645.833
1000243,5627211
1000244,5837902.583
1000245,5935641
1000246,4766083.583
1000247,5933970.25
1000248,8043448.917
1000249,5930388.5
1000250,6548735.833
1000251,5355365.333
1000252,6020468.083
1000253,5931666.5
1000254,6597324.083
1000255,5483609.75
1000256,3798627.75
1000257,4165285.833
1000258,5413158.083
1000259,3464733.333
1000260,4873110.167
1000261,3324268.25
1000262,4735593.5
1000263,4263441
1000264,5143009.667
1000265,3704008
1000266,3459459.833
1000267,4520931.25
1000268,6052955.583
1000269,5197953.083
1000270,5982001.25
1000271,3691226.583
1000272,3565816.5
1000273,3412885.417
1000274,5854447
1000275,4497078.75
1000276,5799688.083
1000277,6120242.083
1000278,4623772.25
1000279,3755473.417
1000280,3631739.917
1000281,5150385.167
1000282,2809159.333
1000283,2472639.833
1000284,6712400.667
1000285,5003155.083
1000286,4696912.667
1000287,5121055.833
1000288,6007625.417
1000289,3330083.333
1000290,6094473.25
1000291,2056917.583
1000292,3808840.25
1000293,5016095.083
1000294,4467650.083
1000295,3977830.583
1000296,2790014.583
1000297,3015107.5
1000298,5984063.667
1000299,480937.4167
1000300,5706714.417
1000301,4520360.75
1000302,3982218.5
1000303,3884967.833
1000304,2863060.5
1000305,4817999.25
1000306,3230972
1000307,3067461.5
1000308,3755052.333
1000309,4284778.583
1000310,4047811.083
1000311,5139909.5
1000312,6022396.25
1000313,4614672.917
1000314,3346937.917
1000315,6635648.417
1000316,4990889.417
1000317,4754727.917
1000318,2804045.667
1000319,7165701.75
1000320,5583032.25
1000321,5510423.75
1000322,4841049.583
1000323,5064108.583
1000324,5944151.667
1000325,3340199.167
1000326,4075526.833
1000327,7315438
1000328,6312427.417
1000329,7314030.25
1000330,5329040.167
1000331,7449818.25
1000332,5529783.083
1000333,5214576.083
1000334,5830653.417
1000335,6315780.25
1000336,4024533.167
1000337,7115478.833
1000338,6433591.833
1000339,6883094.333
1000340,4730376.333
1000341,5330084.917
1000342,6518828.75
1000343,5127816.333
1000344,5235882.583
1000345,2282076.083
1000346,3813406.667
1000347,5913241.417
1000348,6229327.5
1000349,7323544.167
1000350,5969635.167
1000351,5554450.75
1000352,8218698.667
1000353,3199056.25
1000354,5000887.5
1000355,4705063.083
1000356,4521614.167
1000357,4420346.667
1000358,3992279
1000359,7296591.583
1000360,9103199.25
1000361,4013260.917
1000362,5086609.75
1000363,1922930.583
1000364,1815503.667
1000365,1510716.417
1000366,1980085.917
1000367,375469.8333
1000368,1287376.667
1000369,3753472.833
1000370,2177367.167
1000371,5802161.75
1000372,5412446.583
1000373,2180797.667
1000374,2045084.167
1000375,3872237.167
1000376,4931572.75
1000377,4823754.667
1000378,1727677.25
1000379,6652590.417
1000380,9089699.5
1000381,2590872
1000382,9609825.167
1000383,6181066.75
1000384,8296427.833
1000385,3556091.75
1000386,4193489
1000387,6579701.75
1000388,5924773.917
1000389,9534459.083
1000390,5624101
1000391,6359607.333
1000392,5755550
1000393,6455621.833
1000394,7989282.167
1000395,4078983.5
1000396,6668179.667
1000397,1523299.083
1000398,7057735.417
1000399,6320614.917
1000400,6111419.833
1000401,7724334.25
1000402,5924944.083
1000403,6369610.167
1000404,9370226.083
1000405,7200885.75
1000406,6797309.25
1000407,4276368.083
1000408,5010753.917
1000409,6308987.417
1000410,4695163.083
1000411,7084587.25
1000412,5243137.333
1000413,5780175.583
1000414,2482977.417
1000415,8445552.917
1000416,9246874.833
1000417,5939623.083
1000418,5807892.25
1000419,5659624.25
1000420,5627953.167
1000421,7387454.5
1000422,5673501.5
1000423,3846029
1000424,4736498.75
1000425,8284154.833
1000426,2891787.333
1000427,3191075.25
1000428,2967783.083
1000429,7720038.917
1000430,8887838.667
1000431,6345240.167
1000432,4633598.25
1000433,7365670.583
1000434,6330082.167
1000435,4777224.833
1000436,6207829.833
1000437,5794370.75
1000438,4469625.083
1000439,16358607.5
1000440,4800918.417
1000441,4485136.917
1000442,5461344.25
1000443,3414149
1000444,14805894.08
1000445,2568359.25
1000446,6107136.917
1000447,5839121.917
1000448,7275749.25
1000449,9321837.75
1000450,5877531.25
1000451,9364699.75
1000452,3353788.583
1000453,2469869.083
1000454,5142179
1000455,4493077.167
1000456,3794909.167
1000457,2522240.417
1000458,4377060.417
1000459,7420809.25
1000460,4417270.5
1000461,5625335.583
1000462,5340555.083
1000463,2819875.75
1000464,5807010.167
1000465,3294811.167
1000466,5505477.917
1000467,4706611.333
1000468,4747952.417
1000469,6369774
1000470,5793181.417
1000471,5441881.75
1000472,4943220.417
1000473,4461872.917
1000474,7053991.167
1000475,6363752.25
1000476,6552156.417
1000477,2183170.417
1000478,3902649.75
1000479,5913914.833
1000480,6035605.833
1000481,4174498.583
1000482,6190428.167
1000483,4407374.75
1000484,5310565.917
1000485,2816283.167
1000486,3707342.833
1000487,4040213.167
1000488,5750860.333
1000489,4168716.917
1000490,4354645.25
1000491,4833060.583
1000492,4127252.583
1000493,2997511
1000494,3439955.667
1000495,3896764.917
1000496,3323992.667
1000497,5914943
1000498,6205264.25
1000499,5811966.167
1000500,5751687.583
1000501,6679497.417
1000502,5083368.5
1000503,5417268.333
1000504,5463936.917
1000505,5594481.667
1000506,6598961.833
1000507,2330449.917
1000508,5676645.417
1000509,3246479.75
1000510,4561645.667
1000511,4505353.833
1000512,3735106.583
1000513,3103990.833
1000514,3061268.667
1000515,3348676
1000516,3063189.917
1000517,1548826.667
1000518,1888990.667
1000519,4833910.917
1000520,1854238.75
1000521,5403974.667
1000522,4929945.25
1000523,6020468.167
1000524,722529.6667
1000525,5375046.75
1000526,7249667.667
1000527,4013336.333
1000528,4654809.417
1000529,5800879.167
1000530,3405252.25
1000531,3873104.75
1000532,3033014.25
1000533,4981069.417
1000534,5398112.583
1000535,4111083.333
1000536,6168399.417
1000537,6442345.583
1000538,5040654.083
1000539,5697546.583
1000540,3457676.667
1000541,5532556.667
1000542,3259955.917
1000543,2919066.75
1000544,2983243.833
1000545,4979365.917
1000546,4450488
1000547,5681467.75
1000548,5418088.5
1000549,2174201.5
1000550,1597197
1000551,2324616.583
1000552,7029937.583
1000553,5952214.917
1000554,13342322.33
1000555,6870998.667
1000556,8786788.583
1000557,7311577.417
1000558,5285558.667
1000559,3434256.5
1000560,4836700.5
1000561,4929360.417
1000562,4447263.417
1000563,11127544.75
1000564,8998124.167
1000565,5512144.75
1000566,9713042.75
1000567,4270747.167
1000568,3346008.583
1000569,8810090.917
1000570,6415247.917
1000571,5000436.25
1000572,4322209.333
1000573,4550089.917
1000574,2071757.75
1000575,2660320.5
1000576,3184440.917
1000577,4561230.583
1000578,5844921.833
1000579,4562002.083
1000580,3250073.25
1000581,5341753.417
1000582,7617701.167
1000583,2879669.417
1000584,4883097.833
1000585,3385871.417
1000586,3671879
1000587,3238428.25
1000588,4963553.083
1000589,2916529.417
1000590,1672293.667
1000591,4287144.75
1000592,4128227.417
1000593,4283681.5
1000594,1772280.833
1000595,1127233.417
1000596,4414737.083
1000597,4767145.75
1000598,3969777.5
1000599,7623283.833
1000600,4788168.75
1000601,6262702.167
1000602,4302990.167
1000603,4279196.083
1000604,5669544.583
1000605,6251253.083
1000606,4575086.5
1000607,2839530.917
1000608,3939742.25
1000609,3521616.417
1000610,3475361.833
1000611,3915032.833
1000612,1690274.917
1000613,2938675.667
1000614,2796310.417
1000615,2982167.917
1000616,2419445.083
1000617,2992699.333
1000618,3027395.917
1000619,3578689.667
1000620,3307969.667
1000621,3837856.25
1000622,4478598.667
1000623,4136644.25
1000624,3389277.333
1000625,3796438.5
1000626,3428765.417
1000627,4361119.083
1000628,4243165.5
1000629,3703355.583
1000630,4608776.25
1000631,5332439.667
1000632,8236816.25
1000633,3445182.5
1000634,5122330.25
1000635,3793496
1000636,2126447.333
1000637,5037895.167
1000638,5700594.5
1000639,2365478.833
1000640,5598899.583
1000641,5527756.5
1000642,4572352.5
1000643,3789673.75
1000644,4077165.167
1000645,2084176.083
1000646,2034973.25
1000647,843080.9167
1000648,3024075.583
1000649,2093526.25
1000650,3600621.167
1000651,4217902.417
1000652,3104605.25
1000653,2304315.167
1000654,2090224.333
1000655,2940062.417
1000656,3320362.167
1000657,593872.5833
1000658,2805060
1000659,3408634.083
1000660,4577683.417
1000661,3784014.667
1000662,2168342.583
1000663,3538046.75
1000664,4538925.5
1000665,4769903.167
1000666,3353207
1000667,4640370.833
1000668,2199442.333
1000669,1919218.167
1000670,2307745.583
1000671,4175813.833
1000672,2516891.333
1000673,3167790.25
1000674,4431770.417
1000675,2992948.25
1000676,1572662.667
1000677,1408866.833
1000678,4132871.75
1000679,1846098.75
1000680,4675230.417
1000681,4400202.5
1000682,4128632.75
1000683,4785788.583
1000684,2608104.75
1000685,2577966.667
1000686,2397994.417
1000687,3145369.25
1000688,3621522.75
1000689,4673553.25
1000690,4008188
1000691,2956196.417
1000692,6054525.917
1000693,6147673.333
1000694,4250255.917
1000695,4027766
1000696,3495802.75
1000697,3179360.333
1000698,5346911.167
1000699,5368916.417
1000700,2385200.25
1000701,4161353
1000702,5254225.917
1000703,4762316
1000704,5422942
1000705,4947406.833
1000706,5349678.5
1000707,6144878.917
1000708,6222192.5
1000709,5132558.583
1000710,2310414
1000711,3157880.417
1000712,2396353
1000713,2982663
1000714,4610748.917
1000715,5826940.25
1000716,6922967.25
1000717,4731595.917
1000718,5983076.833
1000719,3157154
1000720,1738252
1000721,1335659.25
1000722,4131351.917
1000723,2415069.75
1000724,4637743.583
1000725,2648218.75
1000726,3660259
1000727,4346912.75
1000728,3958894.833
1000729,4186330.5
1000730,5079324.25
1000731,5170701.417
1000732,6070117.5
1000733,5770542.25
1000734,4680812.667
1000735,6610910.667
1000736,4801029.167
1000737,2934956.833
1000738,3298121.833
1000739,5084533.833
1000740,4698374.167
1000741,6651133.333
1000742,5151389.083
1000743,7754500.583
1000744,3093459.833
1000745,4573998.25
1000746,6485450.5
1000747,5370900.667
1000748,6513226.5
1000749,5638863.833
1000750,3094594.583
1000751,2725166.167
1000752,5438496.833
1000753,5122700.167
1000754,2453970.25
1000755,4120832.167
1000756,5610148.583
1000757,5610427.833
1000758,4269903.25
1000759,4424306.083
1000760,4135304.917
1000761,5614691.417
1000762,4050559.333
1000763,2761808.167
1000764,2416258.583
1000765,3836159
1000766,4344757.083
1000767,5161672.917
1000768,3565401.25
1000769,3427714.667
1000770,3423650.417
1000771,2595981.917
1000772,4741536
1000773,3730509.75
1000774,2936126
1000775,4720446
1000776,5083511.833
1000777,5029936.667
1000778,2711778.083
1000779,2694751.833
1000780,5496714.667
1000781,7321350.417
1000782,4812043.333
1000783,4847441.583
1000784,6648367.167
1000785,6830330.083
1000786,3694029.417
1000787,5729386.25
1000788,5791450.167
1000789,2825058.667
1000790,3789777.417
1000791,4876066.583
1000792,5287770
1000793,5679513.583
1000794,1348394.667
1000795,4079472.75
1000796,5342249.25
1000797,5615997.5
1000798,6432846.167
1000799,4405147.583
1000800,4445628.583
1000801,7857566.167
1000802,6658085.417
1000803,6249662.833
1000804,4397141.333
1000805,4821939.333
1000806,6495699.333
1000807,4794884.833
1000808,5536650.833
1000809,5129237.25
1000810,5271102.667
1000811,5440591.75
1000812,7394466.917
1000813,4439895.5
1000814,4823007.917
1000815,9167366.583
1000816,5885632.083
1000817,6364557.75
1000818,4325347.167
1000819,3963349.667
