상권_코드,상권_변화_지표
1000001,LH
1000002,HL
1000003,HH
1000004,LH
1000005,LL
1000006,LH
1000007,LL
1000008,LL
1000009,LH
1000010,LL
1000011,HL
1000012,LH
1000013,HH
1000014,HH
1000015,HH
1000016,LH
1000017,HH
1000018,LH
1000019,HL
1000020,HH
1000021,HH
1000022,HH
1000023,HH
1000024,HH
1000025,HH
1000026,LH
1000027,LL
1000028,HH
1000029,HH
1000030,HH
1000031,LL
1000032,HH
1000033,HL
1000034,LH
1000035,LL
1000036,HL
1000037,LH
1000038,HH
1000039,HH
1000040,HH
1000041,LH
1000042,HH
1000043,HH
1000044,HH
1000045,LH
1000046,HH
1000047,HH
1000048,HH
1000049,LH
1000050,HH
1000051,LH
1000052,HH
1000053,LL
1000054,LL
1000055,LL
1000056,HH
1000057,HH
1000058,LL
1000059,HH
1000060,LL
1000061,LL
1000062,LH
1000063,LL
1000064,LH
1000065,HH
1000066,HH
1000067,HH
1000068,HH
1000069,HH
1000070,HH
1000071,LL
1000072,HL
1000073,LL
1000074,HH
1000075,HH
1000076,LH
1000077,LH
1000078,HH
1000079,HL
1000080,LH
1000081,HH
1000082,LH
1000083,HH
1000084,LL
1000085,LL
1000086,LH
1000087,LH
1000088,LH
1000089,LH
1000090,HH
1000091,HH
1000092,LH
1000093,HH
1000094,LH
1000095,LH
1000096,LL
1000097,LH
1000098,LH
1000099,LH
1000100,HL
1000101,LH
1000102,LH
1000103,LH
1000104,LL
1000105,LL
1000106,HL
1000107,HH
1000108,LL
1000109,LL
1000110,LL
1000111,HH
1000112,HH
1000113,LH
1000114,LH
1000115,LH
1000116,LL
1000117,HH
1000118,LH
1000119,LH
1000120,LL
1000121,LH
1000122,HH
1000123,HH
1000124,LH
1000125,LL
1000126,LL
1000127,HL
1000128,LH
1000129,HL
1000130,HH
1000131,HL
1000132,LH
1000133,HH
1000134,HH
1000135,HL
1000136,LL
1000137,LL
1000138,LL
1000139,LH
1000140,HL
1000141,LL
1000142,LL
1000143,LL
1000144,LL
1000145,HH
1000146,LL
1000147,LL
1000148,LL
1000149,HH
1000150,HL
1000151,HH
1000152,HL
1000153,LL
1000154,LL
1000155,LH
1000156,LL
1000157,LL
1000158,HL
1000159,LL
1000160,LL
1000161,LL
1000162,LL
1000163,HH
1000164,LH
1000165,LL
1000166,HH
1000167,LH
1000168,LL
1000169,LL
1000170,HL
1000171,LH
1000172,LH
1000173,HH
1000174,HH
1000175,LL
1000176,LL
1000177,LL
1000178,LL
1000179,LL
1000180,LL
1000181,HH
1000182,HH
1000183,HH
1000184,HH
1000185,LH
1000186,HL
1000187,LH
1000188,LH
1000189,LL
1000190,HH
1000191,HH
1000192,HH
1000193,HL
1000194,HL
1000195,LH
1000196,HL
1000197,LL
1000198,LL
1000199,HL
1000200,HL
1000201,HL
1000202,LL
1000203,HH
1000204,LL
1000205,HH
1000206,HH
1000207,LL
1000208,LH
1000209,HH
1000210,LH
1000211,HH
1000212,HH
1000213,HH
1000214,HL
1000215,LH
1000216,HL
1000217,LL
1000218,HH
1000219,HH
1000220,HL
1000221,HH
1000222,HH
1000223,LL
1000224,LL
1000225,LL
1000226,LH
1000227,LH
1000228,LH
1000229,HL
1000230,LL
1000231,HL
1000232,LL
1000233,LL
1000234,HH
1000235,HH
1000236,LL
1000237,HL
1000238,LL
1000239,LL
1000240,LL
1000241,HL
1000242,HL
1000243,LL
1000244,HL
1000245,LL
1000246,HL
1000247,LL
1000248,HL
1000249,LL
1000250,HH
1000251,LL
1000252,LL
1000253,LL
1000254,HH
1000255,LL
1000256,LL
1000257,HL
1000258,HL
1000259,LL
1000260,LL
1000261,HH
1000262,HL
1000263,HH
1000264,HL
1000265,HH
1000266,LH
1000267,HH
1000268,LH
1000269,LH
1000270,LL
1000271,HH
1000272,HH
1000273,LH
1000274,HL
1000275,HL
1000276,HL
1000277,LL
1000278,LH
1000279,LL
1000280,HH
1000281,LL
1000282,LH
1000283,LH
1000284,LL
