행 레이블,평균 : 당월_매출_금액,평균 : 총_유동인구_수,평균 : 월_평균_소득_금액,평균 : 지출_총금액,상권_변화_지표
1000001,678833195.9,1285791.5,3783725,2927151544,LH
1000002,921705389.6,3943541.083,3665126,5403471264,HL
1000003,1713148911,2184229,3192740,2753854220,HH
1000004,172226293.7,3318473,3282965,4251573887,LH
1000005,231564347.3,458317.1667,4545914,2961934404,LL
1000006,984004266.7,1235974.917,3956634,2640365158,LH
1000007,990730197.1,1019402,3919168,1881062923,LL
1000008,767745657.4,554392.1667,4261795,1791490430,LL
1000009,902690162.9,564433,4223372,1719137098,LH
1000010,803114521.6,3086526.083,4141282,3297903453,LL
1000011,886233859.8,5784952.083,2930491,6123824322,HL
1000012,499726985.4,2559004,3697470,4049016334,LH
1000013,3228201148,1448484.083,3042575,2184429608,HH
1000014,761539924.8,3225419.583,3127192,2740334765,HH
1000015,1187401612,4410611.417,3180329,4963325638,HH
1000016,1021700220,3050228.917,3807890,4052268449,LH
1000017,7296261696,1689413.833,3213092,1349364217,HH
1000018,1424816516,4147948.583,3138323,4141951595,LH
1000019,581357435.2,7497181.833,3006070,8016828085,HL
1000020,663765319.5,5918975.083,3225697,7193139652,HH
1000021,486304841.3,3688144.333,4414588,4795866382,HH
1000022,1116949462,5764240,2926001,5440195096,HH
1000023,1106846896,5973670.583,3143406,6370970438,HH
1000024,310622794.9,6812732.833,3091247,7669089363,HH
1000025,385701416.2,3139466.417,4615780,5569788388,HH
1000026,275662163.3,230984.4167,4928278,4617142155,LH
1000027,881236001,3031045.833,5028237,5125605932,LL
1000028,1202971632,6097844.667,3663395,5434006016,HH
1000029,776509509,4237561.833,4109279,6125374283,HH
1000030,1480253480,5847909.083,3101507,6592584621,HH
1000031,753343690.4,4639341.5,4016091,8224301835,LL
1000032,1162972942,6115555,3692680,6315425076,HH
1000033,1416817699,5418318.917,3126348,4728757934,HL
1000034,1196340325,6036195.25,3759392,9068714210,LH
1000035,873550624,3300109.167,3455959,9767657328,LL
1000036,1322507705,4224636.583,3249162,7568562077,HL
1000037,962942415.6,4445939.5,3213409,5952230193,LH
1000038,1183146584,4220910.833,3687560,7692326276,HH
1000039,4105226604,3646656.667,2954105,201368577,HH
1000040,1678012634,2623800.167,3069139,447759255,HH
1000041,1513979423,3779043.417,3112461,5014099189,LH
1000042,991083351.1,5070267.25,3738126,6617023019,HH
1000043,545652442.7,4845760.667,4095350,7969086030,HH
1000044,1907962933,1967379.333,4848137,3739489628,HH
1000045,849089125.7,1423930,4654026,3105368622,LH
1000046,1071811360,2870842,3823749,3375861031,HH
1000047,1566708798,3058366.5,3189056,3112710700,HH
1000048,3025401844,2255005,4595194,3547214039,HH
1000049,1051010110,6729222.917,3900122,8784439312,LH
1000050,290459063.4,852047.1667,5403249,2758203512,HH
1000051,1384770116,2335537.833,4391589,4755620132,LH
1000052,1372099079,1959421.083,3261305,3644953704,HH
1000053,1025332180,1926584.167,3365558,3633658341,LL
1000054,398989228.7,2314376.667,3881385,4742732564,LL
1000055,1114512983,2864503.083,4154394,5341444670,LL
1000056,1176826435,3894880.5,3142473,8451417494,HH
